name_fr,name_eng,tune,part
basson,bassoon,ut,
batterie,drums,,
bugle,flugelhorn,Bb,1;2
clarinette,clarinet,A;Bb;Eb,1;2;3
clarinette basse,clarinet bass,,
claviers,,,
conducteur,,,
cor,horn,Eb;F,1;2;3;4
cornet,cornet,Bb,1;2
euphonium,euphonium,Bb;C,
flute,flute,,1;2;3
hautbois,oboe,,1;2
mallet,,,
percu(ssion)?,,,
piccolo,piccolo,,
sax[o|ophone]? alto,,1;2
sax[o|ophone]? baryton,,
sax[o|ophone]? tenor,,1;2
timbales,timballes,,,
trompette,trumpet,Bb;C,1;2;3;4
trombone,trombone,C,1;2;3;4
tuba,tuba,Bb;C,1;2
